t_ms,target,cps,band_lo,band_hi
44200,300.0,305.0,0.0,0.0
44300,300.0,302.86,0.0,0.0
44400,300.0,302.5,0.0,0.0
44500,300.0,305.0,0.0,0.0
44600,300.0,302.5,0.0,0.0
44700,300.0,302.5,0.0,0.0
44800,300.0,304.77,0.0,0.0
44900,300.0,302.05,0.0,0.0
45000,300.0,305.0,0.0,0.0
45100,300.0,297.5,0.0,0.0
45200,300.0,297.5,0.0,0.0
45300,300.0,304.77,0.0,0.0
45400,300.0,294.77,0.0,0.0
45500,300.0,300.0,0.0,0.0
45600,300.0,305.0,0.0,0.0
45700,300.0,292.5,0.0,0.0
45800,300.0,302.27,0.0,0.0
45900,300.0,302.5,0.0,0.0
46000,300.0,302.05,0.0,0.0
46100,300.0,305.0,0.0,0.0
46200,300.0,300.0,0.0,0.0
46300,300.0,290.54,0.0,0.0
46400,300.0,300.0,0.0,0.0
46500,300.0,302.5,0.0,0.0
46600,300.0,302.5,0.0,0.0
46700,300.0,297.27,0.0,0.0
46800,300.0,300.0,0.0,0.0
46900,300.0,299.77,0.0,0.0
47000,300.0,305.0,0.0,0.0
47100,300.0,297.5,0.0,0.0
47200,300.0,297.27,0.0,0.0
47300,300.0,305.0,0.0,0.0
47400,300.0,297.27,0.0,0.0
47500,300.0,297.5,0.0,0.0
47600,300.0,302.5,0.0,0.0
47700,300.0,304.77,0.0,0.0
47800,300.0,295.0,0.0,0.0
47900,300.0,299.77,0.0,0.0
48000,300.0,300.0,0.0,0.0
48100,300.0,305.0,0.0,0.0
48200,300.0,299.77,0.0,0.0
48300,300.0,293.94,0.0,0.0
48400,300.0,295.0,0.0,0.0
48500,300.0,305.0,0.0,0.0
48600,300.0,304.77,0.0,0.0
48700,300.0,295.0,0.0,0.0
48800,300.0,299.77,0.0,0.0
48900,300.0,300.0,0.0,0.0
49000,300.0,305.0,0.0,0.0
49100,300.0,299.77,0.0,0.0
49200,300.0,290.0,0.0,0.0
49300,300.0,299.77,0.0,0.0
49400,300.0,302.5,0.0,0.0
49500,300.0,302.5,0.0,0.0
49600,300.0,304.77,0.0,0.0
49700,300.0,297.5,0.0,0.0
49800,300.0,297.05,0.0,0.0
49900,300.0,302.5,0.0,0.0
50000,300.0,303.27,0.0,0.0
50100,300.0,295.0,0.0,0.0
50200,300.0,299.77,0.0,0.0
50300,300.0,305.0,0.0,0.0
50400,300.0,292.5,0.0,0.0
50500,300.0,302.27,0.0,0.0
50600,300.0,302.5,0.0,0.0
50700,300.0,302.27,0.0,0.0
50800,300.0,297.5,0.0,0.0
50900,300.0,300.0,0.0,0.0
51000,300.0,302.05,0.0,0.0
51100,300.0,297.5,0.0,0.0
51200,300.0,302.27,0.0,0.0
51300,300.0,292.5,0.0,0.0
51400,300.0,300.0,0.0,0.0
51500,300.0,302.27,0.0,0.0
51600,300.0,305.0,0.0,0.0
51700,300.0,304.77,0.0,0.0
51800,300.0,300.0,0.0,0.0
51900,300.0,289.42,0.0,0.0
52000,300.0,300.0,0.0,0.0
52100,300.0,304.55,0.0,0.0
52200,300.0,302.5,0.0,0.0
52300,300.0,297.5,0.0,0.0
52400,300.0,297.27,0.0,0.0
